country_name,total_deaths_all_years
United States,1215318.0
Brazil,702195.0
India,533661.0
Mexico,334819.0
United Kingdom,232112.0
Peru,221001.0
Italy,198272.0
Germany,174979.0
France,167985.0
Indonesia,162063.0
